SOLVER,BENCHMARK,DESC,STATUS
Imandra,list/concat_assoc_1var_7occ/19,,FAILED
Imandra,list/concat_assoc_1var_7occ/2,,FAILED
Imandra,list/concat_assoc_1var_7occ/20,,FAILED
Imandra,list/concat_assoc_1var_7occ/21,,FAILED
Imandra,list/concat_assoc_1var_7occ/22,,FAILED
Imandra,list/concat_assoc_1var_7occ/23,,FAILED
Imandra,list/concat_assoc_1var_7occ/24,,FAILED
Imandra,list/concat_assoc_1var_7occ/25,,FAILED
Imandra,list/concat_assoc_1var_7occ/26,,FAILED
Imandra,list/concat_assoc_1var_7occ/27,,FAILED
Imandra,list/concat_assoc_1var_7occ/28,,FAILED
Imandra,list/concat_assoc_1var_7occ/29,,FAILED
Imandra,list/concat_assoc_1var_7occ/3,,FAILED
Imandra,list/concat_assoc_1var_7occ/30,,FAILED
Imandra,list/concat_assoc_1var_7occ/31,,FAILED
Imandra,list/concat_assoc_1var_7occ/32,,FAILED
Imandra,list/concat_assoc_1var_7occ/33,,FAILED
Imandra,list/concat_assoc_1var_7occ/34,,FAILED
Imandra,list/concat_assoc_1var_7occ/35,,FAILED
Imandra,list/concat_assoc_1var_7occ/36,,FAILED
Imandra,list/concat_assoc_1var_7occ/37,,FAILED
Imandra,list/concat_assoc_1var_7occ/38,,FAILED
Imandra,list/concat_assoc_1var_7occ/39,,FAILED
Imandra,list/concat_assoc_1var_7occ/4,,FAILED
Imandra,list/concat_assoc_1var_7occ/40,,FAILED
Imandra,list/concat_assoc_1var_7occ/41,,FAILED
Imandra,list/concat_assoc_1var_7occ/42,,FAILED
Imandra,list/concat_assoc_1var_7occ/43,,FAILED
Imandra,list/concat_assoc_1var_7occ/44,,FAILED
Imandra,list/concat_assoc_1var_7occ/45,,FAILED
Imandra,list/concat_assoc_1var_7occ/46,,FAILED
Imandra,list/concat_assoc_1var_7occ/47,,FAILED
Imandra,list/concat_assoc_1var_7occ/48,,FAILED
Imandra,list/concat_assoc_1var_7occ/49,,FAILED
Imandra,list/concat_assoc_1var_7occ/5,,FAILED
Imandra,list/concat_assoc_1var_7occ/6,,FAILED
Imandra,list/concat_assoc_1var_7occ/7,,FAILED
Imandra,list/concat_assoc_1var_7occ/8,,FAILED
Imandra,list/concat_assoc_1var_7occ/9,,FAILED
Imandra,list/concat_assoc_3var_3occ/0,,SOLVED
Imandra,list/concat_assoc_1var_9occ/0,,FAILED
Imandra,list/concat_assoc_1var_9occ/1,,FAILED
Imandra,list/concat_assoc_1var_9occ/10,,FAILED
Imandra,list/concat_assoc_1var_9occ/11,,FAILED
Imandra,list/concat_assoc_1var_9occ/12,,FAILED
Imandra,list/concat_assoc_1var_9occ/13,,FAILED
Imandra,list/concat_assoc_1var_9occ/14,,FAILED
Imandra,list/concat_assoc_1var_9occ/15,,FAILED
Imandra,list/concat_assoc_1var_9occ/16,,FAILED
Imandra,list/concat_assoc_1var_9occ/17,,FAILED
Imandra,list/concat_assoc_1var_9occ/18,,FAILED
Imandra,list/concat_assoc_1var_9occ/19,,FAILED
Imandra,list/concat_assoc_1var_9occ/2,,FAILED
Imandra,list/concat_assoc_1var_9occ/20,,FAILED
Imandra,list/concat_assoc_1var_9occ/21,,FAILED
Imandra,list/concat_assoc_1var_9occ/22,,FAILED
Imandra,list/concat_assoc_1var_9occ/23,,FAILED
Imandra,list/concat_assoc_1var_9occ/24,,FAILED
Imandra,list/concat_assoc_1var_9occ/25,,FAILED
Imandra,list/concat_assoc_1var_9occ/26,,FAILED
Imandra,list/concat_assoc_1var_9occ/27,,FAILED
Imandra,list/concat_assoc_1var_9occ/28,,FAILED
Imandra,list/concat_assoc_1var_9occ/29,,FAILED
