SOLVER,BENCHMARK,DESC,STATUS
ZipRewrite,nat/leq_1var_4_7occ/16,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/17,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/18,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/19,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/2,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/20,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/21,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/22,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/23,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/24,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/25,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/26,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/27,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/28,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/29,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/3,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/30,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/31,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/32,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/33,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/34,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/35,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/36,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/37,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/38,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/39,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/4,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/40,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/41,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/42,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/43,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/44,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/45,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/46,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/47,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/48,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/49,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/5,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/6,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/7,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/8,,SOLVED
ZipRewrite,nat/leq_1var_4_7occ/9,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/0,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/1,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/10,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/11,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/12,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/13,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/14,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/15,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/16,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/17,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/18,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/19,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/2,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/20,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/21,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/22,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/23,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/24,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/25,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/26,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/27,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/28,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/29,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/3,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/30,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/31,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/32,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/33,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/34,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/35,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/36,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/37,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/38,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/39,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/4,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/40,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/41,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/42,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/43,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/44,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/45,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/46,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/47,,SOLVED
